[11:16:56.606] [INFO] Starting logging #2
[11:16:56.606] [INFO] Initializing Mountain Framework
[11:16:57.103] [INFO] Loading directory ../Mountain/shaders_internal...
[11:16:57.104] [INFO] Loading directory ../Mountain/shaders_internal/arc...
[11:16:57.105] [INFO] Loading directory ../Mountain/shaders_internal/circle...
[11:16:57.107] [INFO] Loading directory ../Mountain/shaders_internal/effects...
[11:16:57.108] [INFO] Loading directory ../Mountain/shaders_internal/line...
[11:16:57.109] [INFO] Loading directory ../Mountain/shaders_internal/line_colored...
[11:16:57.110] [INFO] Loading directory ../Mountain/shaders_internal/particles...
[11:16:57.111] [INFO] Loading directory ../Mountain/shaders_internal/particles/draw...
[11:16:57.114] [INFO] Loading directory ../Mountain/shaders_internal/point...
[11:16:57.115] [INFO] Loading directory ../Mountain/shaders_internal/rectangle...
[11:16:57.116] [INFO] Loading directory ../Mountain/shaders_internal/render_target...
[11:16:57.117] [INFO] Loading directory ../Mountain/shaders_internal/text...
[11:16:57.118] [INFO] Loading directory ../Mountain/shaders_internal/texture...
[11:16:57.120] [INFO] Loading directory ../Mountain/shaders_internal/triangle...
[11:16:57.121] [INFO] Loading directory ../Mountain/shaders_internal/triangle_colored...
[11:16:57.123] [INFO] Loading directory ../Mountain/assets_internal...
[11:16:57.124] [INFO] Loading all resources from FileManager
