[14:30:12.645252300] [INFO] Starting logging #11
[14:30:12.645252300] [INFO] Initializing Mountain Framework
[14:30:13.127870800] [INFO] Loading directory ../Mountain/shaders_internal...
[14:30:13.127870800] [INFO] Loading directory ../Mountain/shaders_internal/arc...
[14:30:13.128870700] [INFO] Loading directory ../Mountain/shaders_internal/circle...
[14:30:13.129870900] [INFO] Loading directory ../Mountain/shaders_internal/effects...
[14:30:13.132870700] [INFO] Loading directory ../Mountain/shaders_internal/line...
[14:30:13.133874] [INFO] Loading directory ../Mountain/shaders_internal/line_colored...
[14:30:13.134872] [INFO] Loading directory ../Mountain/shaders_internal/particles...
[14:30:13.134872] [INFO] Loading directory ../Mountain/shaders_internal/particles/draw...
[14:30:13.136888500] [INFO] Loading directory ../Mountain/shaders_internal/point...
[14:30:13.137872800] [INFO] Loading directory ../Mountain/shaders_internal/rectangle...
[14:30:13.138874100] [INFO] Loading directory ../Mountain/shaders_internal/render_target...
[14:30:13.139872600] [INFO] Loading directory ../Mountain/shaders_internal/text...
[14:30:13.139872600] [INFO] Loading directory ../Mountain/shaders_internal/texture...
[14:30:13.140876] [INFO] Loading directory ../Mountain/shaders_internal/triangle...
[14:30:13.141876] [INFO] Loading directory ../Mountain/shaders_internal/triangle_colored...
[14:30:13.142874100] [INFO] Loading directory ../Mountain/assets_internal...
[14:30:13.143876400] [INFO] Loading all resources from FileManager
